,name,repo,source
kivy,python-for-android,https://github.com/kivy/python-for-android,github
arduino,Arduino,https://github.com/arduino/Arduino,github
kubeflow,kubeflow,https://github.com/kubeflow/kubeflow,github
leon-ai,leon,https://github.com/leon-ai/leon,github
cryildiagne,ar-cutpaste,https://github.com/cyrildiagne/ar-cutpaste,github
jupyterlab,jupyterlab,https://github.com/jupyterlab/jupyterlab,github
airbytehq,airbyte,https://github.com/airbytehq/airbyte,github
ionic-team,capacitor,https://github.com/ionic-team/capacitor,github
facebook,flipper,https://github.com/facebook/flipper,github
gitpod-io,github,https://github.com/gitpod-io/gitpod,github
apitable,apitable,https://github.com/apitable/apitable,github
google,diff-match-patch,https://github.com/google/diff-match-patch,github
lining0806,PythonSpiderNotes,https://github.com/lining0806/PythonSpiderNotes,github
lcdevelop,ChatBotCourse,https://github.com/lcdevelop/ChatBotCours,github
FederatedAI,FATE,https://github.com/FederatedAI/FATE,github
tony9402,baekjoon,https://github.com/tony9402/baekjoon,github
feast-dev,feast,https://github.com/feast-dev/feast,github
qiyuangong,leetcode,https://github.com/qiyuangong/leetcode,github
mouredev,retos-programacion-2023,https://github.com/mouredev/retos-programacion-2023,github
aws-samples,aws-cdk-examples,https://github.com/aws-samples/aws-cdk-examples,github
isl-org,MiDaS,https://github.com/isl-org/MiDaS,github
Picovoice,porcupine,https://github.com/Picovoice/porcupine,github
billryan,algorithm-exercise,https://github.com/billryan/algorithm-exercise,github
Neo23x0,Loki,https://github.com/Neo23x0/Loki,github
linkedin,qark,https://github.com/linkedin/qark,github
sensepost,reGeorg,https://github.com/sensepost/reGeorg.git,github
google,nogotofail,https://github.com/google/nogotofail,github
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,github
lyswhut,lx-music-mobile,https://github.com/lyswhut/lx-music-mobile,github
software-mansion,react-native-reanimated,https://github.com/software-mansion/react-native-reanimated,github
Jigsaw-Code,outline-apps,https://github.com/Jigsaw-Code/outline-apps,github
DylanVann,react-native-fast-image,https://github.com/DylanVann/react-native-fast-image,github
react-native-device-info,react-native-device-info,https://github.com/react-native-device-info/react-native-device-info,github
react-native-webview,react-native-webview,https://github.com/react-native-webview/react-native-webview,github
maotoumao,MusicFree,https://github.com/maotoumao/MusicFree,github
openblocks-dev,openblocks,https://github.com/openblocks-dev/openblocks,github
edp963,davinci,https://github.com/edp963/davinci,github
xinthink,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,github
react-native-async-storage,async-storage,https://github.com/react-native-async-storage/async-storage,github
kucherenko,jscpd,https://github.com/kucherenko/jscpd,github
open-metadata,OpenMetadata,https://github.com/open-metadata/OpenMetadata,github